2018-04-08 16:19:35 INFO  -Root WebApplicationContext: initialization started Caller+0	 at org.springframework.web.context.ContextLoader.initWebApplicationContext(ContextLoader.java:285)
2018-04-08 16:19:35 DEBUG -Loaded schema mappings: {http://www.springframework.org/schema/tx/spring-tx-2.5.xsd=org/springframework/transaction/config/spring-tx-2.5.xsd, http://www.springframework.org/schema/aop/spring-aop-4.1.xsd=org/springframework/aop/config/spring-aop-4.1.xsd, http://www.springframework.org/schema/context/spring-context-3.1.xsd=org/springframework/context/config/spring-context-3.1.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-4.1.xsd=org/springframework/jdbc/config/spring-jdbc-4.1.xsd, http://www.springframework.org/schema/mvc/spring-mvc-4.1.xsd=org/springframework/web/servlet/config/spring-mvc-4.1.xsd, http://www.springframework.org/schema/util/spring-util-3.0.xsd=org/springframework/beans/factory/xml/spring-util-3.0.xsd, http://mybatis.org/schema/mybatis-spring-1.2.xsd=org/mybatis/spring/config/mybatis-spring-1.2.xsd, http://www.springframework.org/schema/tool/spring-tool.xsd=org/springframework/beans/factory/xml/spring-tool-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-3.2.xsd=org/springframework/aop/config/spring-aop-3.2.xsd, http://www.springframework.org/schema/lang/spring-lang-4.1.xsd=org/springframework/scripting/config/spring-lang-4.1.xsd, http://www.springframework.org/schema/redis/spring-redis.xsd=org/springframework/data/redis/config/spring-redis-1.0.xsd, http://www.springframework.org/schema/context/spring-context-4.0.xsd=org/springframework/context/config/spring-context-4.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.2.xsd=org/springframework/web/servlet/config/spring-mvc-3.2.xsd, http://www.springframework.org/schema/tool/spring-tool-4.1.xsd=org/springframework/beans/factory/xml/spring-tool-4.1.xsd, http://www.springframework.org/schema/lang/spring-lang-3.2.xsd=org/springframework/scripting/config/spring-lang-3.2.xsd, http://www.springframework.org/schema/cache/spring-cache-3.2.xsd=org/springframework/cache/config/spring-cache-3.2.xsd, http://www.springframework.org/schema/jee/spring-jee-4.1.xsd=org/springframework/ejb/config/spring-jee-4.1.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-3.1.xsd=org/springframework/jdbc/config/spring-jdbc-3.1.xsd, http://www.springframework.org/schema/util/spring-util-2.0.xsd=org/springframework/beans/factory/xml/spring-util-2.0.xsd, http://www.springframework.org/schema/tool/spring-tool-3.2.xsd=org/springframework/beans/factory/xml/spring-tool-3.2.xsd, http://www.springframework.org/schema/context/spring-context.xsd=org/springframework/context/config/spring-context-4.1.xsd, http://www.springframework.org/schema/cache/spring-cache-4.1.xsd=org/springframework/cache/config/spring-cache-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-4.0.xsd=org/springframework/aop/config/spring-aop-4.0.xsd, http://www.springframework.org/schema/jee/spring-jee-3.2.xsd=org/springframework/ejb/config/spring-jee-3.2.xsd, http://www.springframework.org/schema/context/spring-context-3.0.xsd=org/springframework/context/config/spring-context-3.0.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-4.0.xsd=org/springframework/jdbc/config/spring-jdbc-4.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc-4.0.xsd=org/springframework/web/servlet/config/spring-mvc-4.0.xsd, http://www.springframework.org/schema/util/spring-util-2.5.xsd=org/springframework/beans/factory/xml/spring-util-2.5.xsd, http://www.springframework.org/schema/beans/spring-beans-3.2.xsd=org/springframework/beans/factory/xml/spring-beans-3.2.xsd, http://www.springframework.org/schema/aop/spring-aop-3.1.xsd=org/springframework/aop/config/spring-aop-3.1.xsd, http://www.springframework.org/schema/lang/spring-lang-4.0.xsd=org/springframework/scripting/config/spring-lang-4.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc.xsd=org/springframework/web/servlet/config/spring-mvc-4.1.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.1.xsd=org/springframework/web/servlet/config/spring-mvc-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-4.1.xsd=org/springframework/beans/factory/xml/spring-beans-4.1.xsd, http://www.springframework.org/schema/redis/spring-redis-1.0.xsd=org/springframework/data/redis/config/spring-redis-1.0.xsd, http://www.springframework.org/schema/tool/spring-tool-4.0.xsd=org/springframework/beans/factory/xml/spring-tool-4.0.xsd, http://www.springframework.org/schema/tx/spring-tx-3.2.xsd=org/springframework/transaction/config/spring-tx-3.2.xsd, http://www.springframework.org/schema/lang/spring-lang-3.1.xsd=org/springframework/scripting/config/spring-lang-3.1.xsd, http://www.springframework.org/schema/cache/spring-cache-3.1.xsd=org/springframework/cache/config/spring-cache-3.1.xsd, http://www.springframework.org/schema/jee/spring-jee-4.0.xsd=org/springframework/ejb/config/spring-jee-4.0.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-3.0.xsd=org/springframework/jdbc/config/spring-jdbc-3.0.xsd, http://www.springframework.org/schema/task/spring-task-4.1.xsd=org/springframework/scheduling/config/spring-task-4.1.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc.xsd=org/springframework/jdbc/config/spring-jdbc-4.1.xsd, http://www.springframework.org/schema/tool/spring-tool-3.1.xsd=org/springframework/beans/factory/xml/spring-tool-3.1.xsd, http://www.springframework.org/schema/tx/spring-tx-4.1.xsd=org/springframework/transaction/config/spring-tx-4.1.xsd, http://www.springframework.org/schema/cache/spring-cache-4.0.xsd=org/springframework/cache/config/spring-cache-4.0.xsd, http://www.springframework.org/schema/jee/spring-jee-3.1.xsd=org/springframework/ejb/config/spring-jee-3.1.xsd, http://www.springframework.org/schema/task/spring-task-3.2.xsd=org/springframework/scheduling/config/spring-task-3.2.xsd, http://www.springframework.org/schema/beans/spring-beans-3.1.xsd=org/springframework/beans/factory/xml/spring-beans-3.1.xsd, http://www.springframework.org/schema/util/spring-util.xsd=org/springframework/beans/factory/xml/spring-util-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-3.0.xsd=org/springframework/aop/config/spring-aop-3.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.0.xsd=org/springframework/web/servlet/config/spring-mvc-3.0.xsd, http://www.springframework.org/schema/beans/spring-beans-4.0.xsd=org/springframework/beans/factory/xml/spring-beans-4.0.xsd, http://www.springframework.org/schema/beans/spring-beans.xsd=org/springframework/beans/factory/xml/spring-beans-4.1.xsd, http://mybatis.org/schema/mybatis-spring.xsd=org/mybatis/spring/config/mybatis-spring-1.2.xsd, http://www.springframework.org/schema/tx/spring-tx-3.1.xsd=org/springframework/transaction/config/spring-tx-3.1.xsd, http://www.springframework.org/schema/lang/spring-lang-3.0.xsd=org/springframework/scripting/config/spring-lang-3.0.xsd, http://www.springframework.org/schema/context/spring-context-2.5.xsd=org/springframework/context/config/spring-context-2.5.xsd, http://www.springframework.org/schema/task/spring-task-4.0.xsd=org/springframework/scheduling/config/spring-task-4.0.xsd, http://www.springframework.org/schema/tool/spring-tool-3.0.xsd=org/springframework/beans/factory/xml/spring-tool-3.0.xsd, http://www.springframework.org/schema/tx/spring-tx-4.0.xsd=org/springframework/transaction/config/spring-tx-4.0.xsd, http://www.springframework.org/schema/aop/spring-aop-2.0.xsd=org/springframework/aop/config/spring-aop-2.0.xsd, http://www.springframework.org/schema/jee/spring-jee-3.0.xsd=org/springframework/ejb/config/spring-jee-3.0.xsd, http://www.springframework.org/schema/util/spring-util-4.1.xsd=org/springframework/beans/factory/xml/spring-util-4.1.xsd, http://www.springframework.org/schema/task/spring-task-3.1.xsd=org/springframework/scheduling/config/spring-task-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-3.0.xsd=org/springframework/beans/factory/xml/spring-beans-3.0.xsd, http://www.springframework.org/schema/websocket/spring-websocket.xsd=org/springframework/web/socket/config/spring-websocket-4.1.xsd, http://www.springframework.org/schema/jee/spring-jee.xsd=org/springframework/ejb/config/spring-jee-4.1.xsd, http://www.springframework.org/schema/aop/spring-aop-2.5.xsd=org/springframework/aop/config/spring-aop-2.5.xsd, http://www.springframework.org/schema/lang/spring-lang-2.0.xsd=org/springframework/scripting/config/spring-lang-2.0.xsd, http://www.springframework.org/schema/util/spring-util-3.2.xsd=org/springframework/beans/factory/xml/spring-util-3.2.xsd, http://www.springframework.org/schema/task/spring-task.xsd=org/springframework/scheduling/config/spring-task-4.1.xsd, http://www.springframework.org/schema/tool/spring-tool-2.0.xsd=org/springframework/beans/factory/xml/spring-tool-2.0.xsd, http://www.springframework.org/schema/tx/spring-tx-3.0.xsd=org/springframework/transaction/config/spring-tx-3.0.xsd, http://www.springframework.org/schema/lang/spring-lang-2.5.xsd=org/springframework/scripting/config/spring-lang-2.5.xsd, http://www.springframework.org/schema/jee/spring-jee-2.0.xsd=org/springframework/ejb/config/spring-jee-2.0.xsd, http://www.springframework.org/schema/tool/spring-tool-2.5.xsd=org/springframework/beans/factory/xml/spring-tool-2.5.xsd, http://www.springframework.org/schema/jee/spring-jee-2.5.xsd=org/springframework/ejb/config/spring-jee-2.5.xsd, http://www.springframework.org/schema/util/spring-util-4.0.xsd=org/springframework/beans/factory/xml/spring-util-4.0.xsd, http://www.springframework.org/schema/task/spring-task-3.0.xsd=org/springframework/scheduling/config/spring-task-3.0.xsd, http://www.springframework.org/schema/websocket/spring-websocket-4.1.xsd=org/springframework/web/socket/config/spring-websocket-4.1.xsd, http://www.springframework.org/schema/lang/spring-lang.xsd=org/springframework/scripting/config/spring-lang-4.1.xsd, http://www.springframework.org/schema/context/spring-context-3.2.xsd=org/springframework/context/config/spring-context-3.2.xsd, http://www.springframework.org/schema/util/spring-util-3.1.xsd=org/springframework/beans/factory/xml/spring-util-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-2.0.xsd=org/springframework/beans/factory/xml/spring-beans-2.0.xsd, http://www.springframework.org/schema/cache/spring-cache.xsd=org/springframework/cache/config/spring-cache-4.1.xsd, http://www.springframework.org/schema/tx/spring-tx.xsd=org/springframework/transaction/config/spring-tx-4.1.xsd, http://www.springframework.org/schema/context/spring-context-4.1.xsd=org/springframework/context/config/spring-context-4.1.xsd, http://www.springframework.org/schema/beans/spring-beans-2.5.xsd=org/springframework/beans/factory/xml/spring-beans-2.5.xsd, http://www.springframework.org/schema/tx/spring-tx-2.0.xsd=org/springframework/transaction/config/spring-tx-2.0.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-3.2.xsd=org/springframework/jdbc/config/spring-jdbc-3.2.xsd, http://www.springframework.org/schema/aop/spring-aop.xsd=org/springframework/aop/config/spring-aop-4.1.xsd, http://www.springframework.org/schema/websocket/spring-websocket-4.0.xsd=org/springframework/web/socket/config/spring-websocket-4.0.xsd} Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.getSchemaMappings(PluggableSchemaResolver.java:147)
2018-04-08 16:19:35 DEBUG -Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.1.xsd Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.resolveEntity(PluggableSchemaResolver.java:119)
2018-04-08 16:19:35 DEBUG -Found XML schema [http://www.springframework.org/schema/mvc/spring-mvc.xsd] in classpath: org/springframework/web/servlet/config/spring-mvc-4.1.xsd Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.resolveEntity(PluggableSchemaResolver.java:119)
2018-04-08 16:19:35 DEBUG -Found XML schema [http://www.springframework.org/schema/tool/spring-tool-4.1.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-4.1.xsd Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.resolveEntity(PluggableSchemaResolver.java:119)
2018-04-08 16:19:35 DEBUG -Found XML schema [http://www.springframework.org/schema/tx/spring-tx.xsd] in classpath: org/springframework/transaction/config/spring-tx-4.1.xsd Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.resolveEntity(PluggableSchemaResolver.java:119)
2018-04-08 16:19:35 DEBUG -Found XML schema [http://www.springframework.org/schema/context/spring-context.xsd] in classpath: org/springframework/context/config/spring-context-4.1.xsd Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.resolveEntity(PluggableSchemaResolver.java:119)
2018-04-08 16:19:36 DEBUG -Found XML schema [http://www.springframework.org/schema/task/spring-task.xsd] in classpath: org/springframework/scheduling/config/spring-task-4.1.xsd Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.resolveEntity(PluggableSchemaResolver.java:119)
2018-04-08 16:19:36 DEBUG -Loading bean definitions Caller+0	 at org.springframework.beans.factory.xml.DefaultBeanDefinitionDocumentReader.registerBeanDefinitions(DefaultBeanDefinitionDocumentReader.java:98)
2018-04-08 16:19:36 DEBUG -Loaded NamespaceHandler mappings: {http://www.springframework.org/schema/p=org.springframework.beans.factory.xml.SimplePropertyNamespaceHandler, http://www.springframework.org/schema/mvc=org.springframework.web.servlet.config.MvcNamespaceHandler, http://www.springframework.org/schema/util=org.springframework.beans.factory.xml.UtilNamespaceHandler, http://www.springframework.org/schema/jee=org.springframework.ejb.config.JeeNamespaceHandler, http://www.springframework.org/schema/websocket=org.springframework.web.socket.config.WebSocketNamespaceHandler, http://www.springframework.org/schema/aop=org.springframework.aop.config.AopNamespaceHandler, http://www.springframework.org/schema/jdbc=org.springframework.jdbc.config.JdbcNamespaceHandler, http://www.springframework.org/schema/redis=org.springframework.data.redis.config.RedisNamespaceHandler, http://www.springframework.org/schema/cache=org.springframework.cache.config.CacheNamespaceHandler, http://mybatis.org/schema/mybatis-spring=org.mybatis.spring.config.NamespaceHandler, http://www.springframework.org/schema/c=org.springframework.beans.factory.xml.SimpleConstructorNamespaceHandler, http://www.springframework.org/schema/tx=org.springframework.transaction.config.TxNamespaceHandler, http://www.springframework.org/schema/task=org.springframework.scheduling.config.TaskNamespaceHandler, http://www.springframework.org/schema/lang=org.springframework.scripting.config.LangNamespaceHandler, http://www.springframework.org/schema/context=org.springframework.context.config.ContextNamespaceHandler} Caller+0	 at org.springframework.beans.factory.xml.DefaultNamespaceHandlerResolver.getHandlerMappings(DefaultNamespaceHandlerResolver.java:157)
2018-04-08 16:19:36 INFO  -Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] Caller+0	 at org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(DefaultListableBeanFactory.java:829)
2018-04-08 16:19:36 INFO  -Overriding bean definition for bean 'mvcUriComponentsContributor': replacing [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] Caller+0	 at org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(DefaultListableBeanFactory.java:829)
2018-04-08 16:19:36 DEBUG -Adding [systemProperties] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:36 DEBUG -Adding [systemEnvironment] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:36 DEBUG -Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] Caller+0	 at org.springframework.core.env.AbstractEnvironment.<init>(AbstractEnvironment.java:126)
2018-04-08 16:19:36 DEBUG -JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning Caller+0	 at org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.registerDefaultFilters(ClassPathScanningCandidateComponentProvider.java:244)
2018-04-08 16:19:36 DEBUG -JSR-330 'javax.inject.Named' annotation found and supported for component scanning Caller+0	 at org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.registerDefaultFilters(ClassPathScanningCandidateComponentProvider.java:252)
2018-04-08 16:19:36 DEBUG -Looking for matching resources in jar file [file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar] Caller+0	 at org.springframework.core.io.support.PathMatchingResourcePatternResolver.doFindPathMatchingJarResources(PathMatchingResourcePatternResolver.java:536)
2018-04-08 16:19:36 DEBUG -Resolved location pattern [classpath*:poseidon/zhdj/db/**/*.class] to resources [URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/Constants.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/Page.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/shiro/RememberAuthenticationFilter.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/shiro/ShiroDbRealm.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/shiro/ShiroToken.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/ShiroPassword.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/SpringUtil.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/vo/PageEasyUIVo.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/vo/PageVo.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/vo/ResponseVo.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$GiftScore.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$GiftType.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$LuckyType.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$RankType.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$ReplyType.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$VideoDocumentType.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$VideoOperaType.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants$VideoType.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/global/GlobalConstants.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/PageTool.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/valid/service/ValidService.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/valid/serviceImpl/RedisValid.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/valid/vo/ValidVo.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/dao/UserModelMapper.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/dao/VideoModelMapper.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/model/UserModel.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/model/VideoModel.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/service/impl/UserServiceImpl.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/service/impl/VideoServiceImpl.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/service/UserService.class], URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/service/VideoService.class]] Caller+0	 at org.springframework.core.io.support.PathMatchingResourcePatternResolver.findPathMatchingResources(PathMatchingResourcePatternResolver.java:423)
2018-04-08 16:19:36 DEBUG -Identified candidate component class: URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/common/SpringUtil.class] Caller+0	 at org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.findCandidateComponents(ClassPathScanningCandidateComponentProvider.java:286)
2018-04-08 16:19:36 DEBUG -Identified candidate component class: URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/valid/serviceImpl/RedisValid.class] Caller+0	 at org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.findCandidateComponents(ClassPathScanningCandidateComponentProvider.java:286)
2018-04-08 16:19:36 DEBUG -Ignored because not a concrete top-level class: URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/dao/UserModelMapper.class] Caller+0	 at org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.findCandidateComponents(ClassPathScanningCandidateComponentProvider.java:292)
2018-04-08 16:19:36 DEBUG -Ignored because not a concrete top-level class: URL [jar:file:/D:/APP/maven/repos/zjyou/poseidon/poseidon.zhdj.db/1.00/poseidon.zhdj.db-1.00.jar!/poseidon/zhdj/db/video/dao/VideoModelMapper.class] Caller+0	 at org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.findCandidateComponents(ClassPathScanningCandidateComponentProvider.java:292)
